UTCDate,UTCTime,wdmin(D),wdavg(D),wdmax(D),wsmin(ms-1),wsavg(ms-1),wsmax(ms-1),Tout,RH,Pout,rainaccum(mm),raindur(s),rainintensity(mmh-1),hailaccum(hitscm-2), haildur(s),hailintensity(hitscm-2h-1),rainpkintensity(mmh-1),hailpkintensiy(hitscm-2)
2017/10/20,12:17:32.755201,0,0,0,0,0,0,11.2,52.6,1003.6,0,0,0,0,0,0,0,0
2017/10/20,12:17:33.716201,180,293,311,0.0,1.2,1.9,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:17:38.716201,291,321,339,0.9,1.1,1.3,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:17:43.716201,311,333,339,1.0,1.4,1.9,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:17:48.716201,310,326,339,1.6,10,1.9,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:17:53.716201,318,328,336,1.2,10,1.9,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:17:58.716201,310,328,337,1.2,11,1.7,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:18:03.716201,256,307,335,0.5,11,1.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:18:08.716201,187,315,338,0.5,11,1.2,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:18:13.716201,318,337,346,0.7,11,1.3,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:18:18.716201,329,338,347,0.9,1.0,16.1,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:18:23.716201,332,342,351,0.8,1.0,17,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:18:28.716201,332,339,352,0.6,0.9,17.7,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:18:32.755201,0,0,0,0,0,0,11.2,52.2,1003.6,0,0,0,0,0,0,0,0
2017/10/20,12:18:33.716201,322,331,350,0.4,0.7,1.1,0,0,0,0,1,1,0,0,0,0,0
2017/10/20,12:18:38.716201,306,334,350,0.8,1.0,1.2,0,0,0,0,1,1,0,0,0,0,0
2017/10/20,12:18:43.716201,326,334,342,1.1,1.2,1.3,0,0,0,0,1,1,0,0,0,0,0
2017/10/20,12:18:48.716201,323,333,339,1.1,1.2,1.3,0,0,0,0,0.01,0.01,0,0,0,0,0
2017/10/20,12:18:53.716201,321,334,348,1.1,1.4,1.5,0,0,0,0,0.01,0.01,0,0,0,0,0
2017/10/20,12:18:58.716201,321,326,332,1.2,1.5,1.7,0,0,0,0,0.01,0.01,0,0,0,0,0
2017/10/20,12:19:03.716201,320,329,346,1.3,1.4,1.6,0,0,0,0,0.01,0.01,0,0,0,0,0
2017/10/20,12:19:08.716201,298,319,326,0.9,1.1,1.6,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:19:13.715201,299,318,336,1.2,1.4,1.6,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:19:18.716201,306,324,343,1.1,1.4,1.6,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:19:23.716201,301,319,330,1.5,1.7,1.9,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:19:28.715201,331,341,350,1.1,1.1,1.2,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:19:32.754201,0,0,0,0,0,0,11.2,52.0,1003.6,0,0,0,0,0,0,0,0
2017/10/20,12:19:33.715201,322,338,347,0.9,1.2,1.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:19:38.715201,316,327,336,1.3,2.1,2.5,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:19:43.716201,326,339,344,1.5,1.8,2.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:19:48.715201,310,318,338,1.8,2.2,2.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:19:53.715201,296,323,338,1.0,1.3,1.6,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:19:58.715201,316,324,333,1.0,1.2,1.3,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:20:03.715201,303,321,335,0.9,1.0,1.1,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:20:08.715201,270,306,333,0.8,1.0,1.1,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:20:13.715201,301,319,336,1.0,1.3,1.6,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:20:18.716201,308,320,328,1.0,1.1,1.3,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:20:23.715201,316,332,348,0.6,0.8,1.0,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:20:28.715201,315,325,335,0.6,0.8,0.9,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:20:32.754201,0,0,0,0,0,0,11.2,52.0,1003.6,0,0,0,0,0,0,0,0
2017/10/20,12:20:33.715201,310,323,340,0.9,1.6,2.0,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:20:38.715201,310,321,334,0.7,1.2,1.9,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:20:43.715201,303,322,331,0.7,0.9,1.2,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:20:48.715201,285,320,345,0.7,0.9,1.2,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:20:53.715201,313,329,342,0.6,0.9,1.1,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:20:58.715201,316,320,324,0.7,1.8,2.0,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:21:03.715201,319,329,351,0.9,1.2,1.9,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:21:08.715201,296,319,340,1.0,1.2,1.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:21:13.715201,313,320,328,0.7,1.2,1.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:21:18.715201,263,316,344,0.7,1.3,1.6,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:21:23.715201,297,326,346,0.8,1.3,1.6,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:21:28.715201,328,342,350,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:21:32.754201,0,0,0,0,0,0,11.3,51.9,1003.7,0,0,0,0,0,0,0,0
2017/10/20,12:21:33.715201,316,326,349,1.0,1.1,1.5,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:21:38.715201,307,324,337,1.3,1.5,1.6,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:21:43.716201,315,326,336,0.8,1.2,1.5,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:21:48.716201,330,339,348,1.0,1.1,1.2,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:21:53.715201,329,339,352,1.2,1.4,1.7,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:21:58.715201,314,325,330,1.5,1.9,2.2,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:22:03.715201,314,333,345,1.1,1.4,2.2,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:22:08.715201,317,325,340,1.3,1.8,2.1,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:22:13.715201,308,326,334,1.1,1.4,1.7,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:22:18.715201,330,339,353,1.5,1.6,1.9,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:22:23.715201,326,341,355,1.6,1.9,2.2,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:22:28.715201,265,315,354,0.6,1.0,1.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:22:32.754201,0,0,0,0,0,0,11.3,52.1,1003.7,0,0,0,0,0,0,0,0
2017/10/20,12:22:33.715201,308,323,354,0.7,1.0,1.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:22:38.715201,309,319,333,0.8,1.5,2.0,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:22:43.715201,322,337,356,0.4,1.1,1.6,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:22:48.715201,304,319,336,0.9,1.1,1.2,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:22:53.715201,303,331,341,0.9,1.3,1.7,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:22:58.715201,326,332,339,1.5,1.6,1.8,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:23:03.715201,311,318,327,1.3,1.4,1.7,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:23:08.714201,291,312,321,1.3,1.6,2.0,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:23:13.715201,310,331,345,1.3,1.5,1.6,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:23:18.715201,271,309,346,0.3,0.7,1.0,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:23:23.715201,271,323,336,0.5,1.4,1.7,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:23:28.715201,318,326,332,1.2,1.3,1.7,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:23:32.753201,0,0,0,0,0,0,11.3,51.8,1003.7,0,0,0,0,0,0,0,0
2017/10/20,12:23:33.715201,310,322,331,0.7,1.1,1.7,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:23:38.715201,322,336,347,0.8,1.0,1.2,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:23:43.715201,324,333,355,0.9,1.2,1.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:23:48.714201,325,336,344,1.1,1.3,1.5,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:23:53.715201,211,316,349,0.2,0.8,1.5,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:23:58.715201,211,307,340,0.2,0.7,0.9,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:24:03.715201,288,313,343,0.5,1.0,1.1,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:24:08.714201,283,312,343,0.7,0.9,1.0,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:24:13.715201,283,333,355,0.2,0.4,0.7,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:24:18.714201,313,338,358,0.1,0.3,0.5,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:24:23.715201,323,339,356,0.5,0.7,0.8,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:24:28.714201,327,334,347,0.7,1.0,1.3,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:24:32.753201,0,0,0,0,0,0,11.3,51.9,1003.7,0,0,0,0,0,0,0,0
2017/10/20,12:24:33.714201,311,320,333,0.8,1.0,1.1,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:24:38.714201,293,312,333,0.5,0.9,1.2,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:24:43.714201,293,317,336,1.1,1.4,1.6,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:24:48.714201,314,325,334,1.4,2.1,2.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:24:53.714201,316,330,342,1.3,1.7,2.1,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:24:58.714201,316,324,337,0.9,1.0,1.3,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:25:03.714201,306,316,331,0.9,1.1,1.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:25:08.714201,282,323,352,0.2,0.9,1.2,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:25:13.714201,317,326,340,1.1,1.5,1.8,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:25:18.714201,309,322,338,1.1,1.4,1.6,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:25:23.714201,313,320,336,1.3,1.5,1.6,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:25:28.714201,315,331,337,1.2,1.4,1.5,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:25:32.753201,0,0,0,0,0,0,11.3,51.9,1003.8,0,0,0,0,0,0,0,0
2017/10/20,12:25:33.714201,312,330,339,1.0,1.1,1.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:25:38.714201,289,318,338,0.8,1.0,1.3,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:25:43.714201,298,321,345,0.3,0.8,1.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:25:48.714201,328,346,354,0.8,1.3,1.5,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:25:53.714201,308,330,353,0.5,0.7,0.8,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:25:58.714201,308,333,347,0.5,0.9,1.2,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:26:03.714201,327,337,354,1.1,1.2,1.3,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:26:08.714201,293,314,331,0.5,1.1,1.5,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:26:13.714201,259,323,351,0.7,1.6,1.9,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:26:18.714201,317,333,356,0.9,1.5,1.9,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:26:23.714201,311,325,335,1.4,1.6,1.7,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:26:28.713201,310,326,338,1.4,1.8,2.1,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:26:32.753201,0,0,0,0,0,0,11.3,51.8,1003.8,0,0,0,0,0,0,0,0
2017/10/20,12:26:33.714201,313,321,333,1.0,1.2,1.9,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:26:38.714201,306,325,338,0.9,1.2,1.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:26:43.714201,316,328,334,0.9,1.2,1.5,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:26:48.714201,291,315,339,0.5,0.8,1.3,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:26:53.714201,331,337,000,0.7,1.6,1.8,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:26:58.713201,279,310,336,1.0,1.2,1.6,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:27:03.714201,311,330,347,0.7,1.1,1.6,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:27:08.713201,301,319,328,1.0,1.4,1.6,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:27:13.714201,319,325,334,1.1,1.2,1.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:27:18.713201,317,327,345,0.9,1.1,1.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:27:23.713201,294,321,339,1.0,1.3,1.7,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:27:28.714201,320,327,341,1.3,1.6,1.8,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:27:32.752201,0,0,0,0,0,0,11.3,51.8,1003.8,0,0,0,0,0,0,0,0
2017/10/20,12:27:33.714201,325,344,354,1.5,1.9,2.2,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:27:38.713201,309,325,354,1.7,1.7,1.9,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:27:43.713201,306,315,325,1.5,1.8,2.1,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:27:48.714201,302,325,348,0.7,1.0,1.7,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:27:53.714201,002,325,309,0.9,1.2,1.3,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:27:58.713201,325,334,349,1.0,1.1,1.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:28:03.713201,324,333,340,1.0,1.2,1.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:28:08.739201,335,343,357,1.0,1.3,1.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:28:13.714201,316,332,342,0.9,1.2,1.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:28:18.713201,289,311,332,0.9,1.1,1.3,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:28:23.713201,318,336,349,1.0,1.2,1.3,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:28:28.713201,044,323,250,0.3,0.6,0.9,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:28:32.752201,0,0,0,0,0,0,11.4,51.8,1003.9,0,0,0,0,0,0,0,0
2017/10/20,12:28:33.713201,296,326,343,0.4,0.8,1.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:28:38.713201,004,325,260,1.0,1.1,1.3,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:28:43.713201,218,328,355,0.3,1.1,1.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:28:48.713201,008,327,280,0.2,0.5,1.2,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:28:53.714201,313,328,337,0.8,1.2,1.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:28:58.713201,316,332,349,0.6,1.1,1.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:29:03.713201,323,330,345,1.1,1.1,1.2,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:29:08.713201,316,335,346,0.8,1.1,1.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:29:13.713201,316,338,345,0.8,1.2,1.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:29:18.713201,270,327,339,0.5,0.7,1.3,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:29:23.713201,270,331,347,0.5,1.4,1.8,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:29:28.712201,327,337,352,1.3,1.5,1.6,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:29:32.752201,0,0,0,0,0,0,11.4,51.6,1003.9,0,0,0,0,0,0,0,0
2017/10/20,12:29:33.713201,308,319,335,1.1,1.5,1.6,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:29:38.713201,326,333,343,1.0,1.4,1.7,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:29:43.712201,325,334,344,1.3,1.4,1.5,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:29:48.713201,307,331,343,1.0,1.3,1.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:29:53.713201,279,335,357,0.8,1.2,1.6,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:29:58.713201,332,344,353,1.3,1.6,1.7,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:30:03.713201,331,338,342,1.3,1.5,1.7,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:30:08.713201,313,331,344,1.1,1.5,1.8,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:30:13.713201,317,333,344,1.2,1.7,2.1,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:30:18.713201,289,330,342,1.4,1.7,2.0,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:30:23.712201,280,322,338,0.8,1.2,1.5,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:30:28.712201,312,328,337,1.2,1.3,1.3,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:30:32.751201,0,0,0,0,0,0,11.4,51.5,1003.9,0,0,0,0,0,0,0,0
2017/10/20,12:30:33.712201,298,330,344,1.3,1.8,2.0,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:30:38.713201,293,308,334,0.9,1.2,1.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:30:43.712201,275,320,342,0.6,0.9,1.3,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:30:48.713201,312,330,341,0.8,1.2,1.4,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:30:53.712201,280,321,349,0.8,1.1,1.5,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:30:58.712201,334,346,353,1.0,1.3,1.7,0,0,0,0,0,0,0,0,0,0,0
2017/10/20,12:31:03.712201,332,340,353,1.5,1.8,2.1,0,0,0,0,0,0,0,0,0,0,0
